source_platform,source_tag,rank,wallet,pnl_usd,source_url,note
pumpfun,pumpfun_pnl_leaderboard,121,5RmywfYqdCuFHCM7vFfoKaobD6MZharunTMT1qQHiy93,57727.19172787035,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 90 is by net pnlUsd=128104.52509940814; stored value is realizedPnlUsd). username=LadyboyDestroyr
pumpfun,gmgn_launchpad_smart,122,6TbDFs2dkHETrRWVbheiC11bwg7EWLDgszsCADF1ML1b,57142.484869371845,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=3908
pumpfun,gmgn_launchpad_smart,123,FDWJ7wQWKHWRCBv4172uihXiYte5McEE4izGoEcwSocT,56700.64622859298,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1612
pumpfun,pumpfun_pnl_leaderboard,124,EnPjBjzy6zaufzpZ2m3Q8nPS3KpyiRxNLKtcSiMYwWCa,56281.11339463259,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 20 is by net pnlUsd=497669.48944864044; stored value is realizedPnlUsd). username=collectible
pumpfun,pumpfun_pnl_leaderboard,125,DFqdZtjk7p6k88HihENe3VfwFRC7MuEm9sWgQo7tz586,55194.74674794004,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 62 is by net pnlUsd=173900.97727471133; stored value is realizedPnlUsd). username=zachvierr
pumpfun,gmgn_launchpad_smart,126,BCDUS718HJyVqnWH8kiCGymNNVzLAv6bSK88wx21eLRg,52099.633742019425,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1543
pumpfun,gmgn_launchpad_smart,127,4BNMaUdBjUB54SKCTjBEoiEjcF3nGP5pqj3KXV4VEnCu,51941.450645782395,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1711
pumpfun,gmgn_launchpad_smart,128,AXgzGEvbgaFeb1xhdXkQc5D5CehZUa89ci2F9ugQPLaA,51148.7420387713,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=19753
pumpfun,pumpfun_pnl_leaderboard,129,9BKsW5UtV4dPzzdeC9M2MmGdHrA8jH1EZo5jzXkXciPP,50853.68929484759,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 37 is by net pnlUsd=64793.93125224835; stored value is realizedPnlUsd). username=travisbickle
pumpfun,pumpfun_pnl_leaderboard,130,DSQeAaPEdWsqAYBG6wmQE3oxoCGTUVb8Xu2ouRmzixa6,50228.056095899505,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 26 is by net pnlUsd=78296.29692907502; stored value is realizedPnlUsd). username=four3two1
pumpfun,pumpfun_pnl_leaderboard,131,HWaKJXeHTBRn9r1tQFcGSf1Z7o4iExYyrvyMTwYgseXF,48239.63041182971,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 40 is by net pnlUsd=60277.22965943537; stored value is realizedPnlUsd). username=s0rry
pumpfun,gmgn_launchpad_smart,132,gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV,47773.35935216181,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=10115
pumpfun,pumpfun_pnl_leaderboard,133,sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT,47466.86133179523,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 60 is by net pnlUsd=47475.3209741278; stored value is realizedPnlUsd). username=prospering
